ID,Name,SKU,Optional Offer Type,Categories,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Published,Additional Unit Price,Additional Unit Shipping Price,Bonus Shipping Price,Max Quantity Per Order,Continuity,Not Show To Customer
114,MainOfferFreeShippingQueenBlueDISC,EBQNBLMAINB,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BLUE - 50% OFF",Queen - $29.97,Blue,$29.97,$9.95,yes,0,,,,10,,
115,MainOfferFreeShippingQueenBurgundyDISC,EBQNBRMAINB,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BURGUNDY - 50% OFF",Queen - $29.97,Burgundy,$29.97,$9.95,yes,0,,,,10,,
116,MainOfferFreeShippingQueenWhiteDISC,MainQueenWhite,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” WHITE - 50% OFF",Queen - $29.97,White,$29.97,$9.95,yes,0,,,,10,,
117,MainOfferFreeShippingQueenLavenderDISC,MainQueenLav,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” LAVENDER - 50% OFF",Queen - $29.97,Lavender,$29.97,$9.95,yes,0,,,,10,,
118,MainOfferFreeShippingQueenDarkGrayDISC,EBQNDKGRAYMAINB,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” DARK GRAY - 50% OFF",Queen - $29.97,Dark Gray,$29.97,$9.95,yes,0,,,,10,,
119,MainOfferFreeShippingQueenSageGreenDISC,MainQueenSGGREEN,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” SAGE GREEN - 50% OFF",Queen - $29.97,Sage Green,$29.97,$9.95,yes,0,,,,10,,
120,MainOfferFreeShippingQueenSandShellDISC,MainQueenSDSHELL,,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” SAND SHELL - 50% OFF",Queen - $29.97,Sand Shell,$29.97,$9.95,yes,0,,,,10,,
121,MainOfferFreeShippingKingCreamDISC,EBKGCRMAINB,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” CREAM - 50% OFF",King - $34.97,Cream,$34.97,$9.95,yes,0,,,,10,,
122,MainOfferFreeShippingKingCamelDISC,EBKGCMMAINB,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” CAMEL - 50% OFF",King - $34.97,Camel,$34.97,$9.95,yes,0,,,,10,,
123,MainOfferFreeShippingKingBrownDISC,EBKGBWMAINB,,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” BROWN - 50% OFF",King - $34.97,Brown,$34.97,$9.95,yes,0,,,,10,,
