ID,Name,SKU,Type,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
95,MainOfferFreeShippingTwinXLBurgundyDISC,MaintwinXLBurgundy,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” BURGUNDY - 50% OFF",Twin XL - $19.97,Burgundy,19.97,9.95,yes,10
96,MainOfferFreeShippingTwinXLWhiteDISC,MaintwinXLWhite,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” WHITE - 50% OFF",Twin XL - $19.97,White,19.97,9.95,yes,10
97,MainOfferFreeShippingTwinXLLavenderDISC,MaintwinXLLav,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” LAVENDER - 50% OFF",Twin XL - $19.97,Lavender,19.97,9.95,yes,10
98,MainOfferFreeShippingTwinXLDarkGrayDISC,MaintwinXLDKGRAY,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” DARK GRAY - 50% OFF",Twin XL - $19.97,Dark Gray,19.97,9.95,yes,10
99,MainOfferFreeShippingTwinXLSageGreenDISC,MaintwinXLSGGREEN,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” SAGE GREEN - 50% OFF",Twin XL - $19.97,Sage Green,19.97,9.95,yes,10
100,MainOfferFreeShippingTwinXLSandShellDISC,MaintwinXLSDSHELL,Twin XL,"Twin XL Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-68” x L-98”, (1) fitted sheet W-39” x L-80”x D-16”, (2) pillow cases 20” x 30” SAND SHELL - 50% OFF",Twin XL - $19.97,Sand Shell,19.97,9.95,yes,10
101,MainOfferFreeShippingFullCreamDISC,EBFLCRMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” CREAM - 50% OFF",Full - $24.97,Cream,24.97,9.95,yes,10
102,MainOfferFreeShippingFullCamelDISC,EBFLCMMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” CAMEL - 50% OFF",Full - $24.97,Camel,24.97,9.95,yes,10
103,MainOfferFreeShippingFullBrownDISC,EBFLBWMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BROWN - 50% OFF",Full - $24.97,Brown,24.97,9.95,yes,10
104,MainOfferFreeShippingFullBlueDISC,EBFLBLMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BLUE - 50% OFF",Full - $24.97,Blue,24.97,9.95,yes,10
105,MainOfferFreeShippingFullBurgundyDISC,EBFLBRMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” BURGUNDY - 50% OFF",Full - $24.97,Burgundy,24.97,9.95,yes,10
106,MainOfferFreeShippingFullWhiteDISC,MainFullWhite,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” WHITE - 50% OFF",Full - $24.97,White,24.97,9.95,yes,10
107,MainOfferFreeShippingFullLavenderDISC,MainFullLav,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” LAVENDER - 50% OFF",Full - $24.97,Lavender,24.97,9.95,yes,10
108,MainOfferFreeShippingFullDarkGrayDISC,EBFLDKGRAYMAINB,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” DARK GRAY - 50% OFF",Full - $24.97,Dark Gray,24.97,9.95,yes,10
109,MainOfferFreeShippingFullSageGreenDISC,MainFullSGGREEN,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” SAGE GREEN - 50% OFF",Full - $24.97,Sage Green,24.97,9.95,yes,10
110,MainOfferFreeShippingFullSandShellDISC,MainFullSDSHELL,Full,"Full Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-88” x L-98”, (1) fitted sheet W-54” x L-75"" x D-18”, (2) pillow cases 20” x 30” SAND SHELL - 50% OFF",Full - $24.97,Sand Shell,24.97,9.95,yes,10
111,MainOfferFreeShippingQueenCreamDISC,EBQNCRMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” CREAM - 50% OFF",Queen - $29.97,Cream,29.97,9.95,yes,10
112,MainOfferFreeShippingQueenCamelDISC,EBQNCMMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” CAMEL - 50% OFF",Queen - $29.97,Camel,29.97,9.95,yes,10
113,MainOfferFreeShippingQueenBrownDISC,EBQNBWMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BROWN - 50% OFF",Queen - $29.97,Brown,29.97,9.95,yes,10
114,MainOfferFreeShippingQueenBlueDISC,EBQNBLMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BLUE - 50% OFF",Queen - $29.97,Blue,29.97,9.95,yes,10
115,MainOfferFreeShippingQueenBurgundyDISC,EBQNBRMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” BURGUNDY - 50% OFF",Queen - $29.97,Burgundy,29.97,9.95,yes,10
116,MainOfferFreeShippingQueenWhiteDISC,MainQueenWhite,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” WHITE - 50% OFF",Queen - $29.97,White,29.97,9.95,yes,10
117,MainOfferFreeShippingQueenLavenderDISC,MainQueenLav,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” LAVENDER - 50% OFF",Queen - $29.97,Lavender,29.97,9.95,yes,10
118,MainOfferFreeShippingQueenDarkGrayDISC,EBQNDKGRAYMAINB,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” DARK GRAY - 50% OFF",Queen - $29.97,Dark Gray,29.97,9.95,yes,10
119,MainOfferFreeShippingQueenSageGreenDISC,MainQueenSGGREEN,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” SAGE GREEN - 50% OFF",Queen - $29.97,Sage Green,29.97,9.95,yes,10
120,MainOfferFreeShippingQueenSandShellDISC,MainQueenSDSHELL,Queen,"Queen Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-94” x L-108”, (1) fitted sheet W-60” x L-80” x D-18”, (2) pillow cases 20” x 30” SAND SHELL - 50% OFF",Queen - $29.97,Sand Shell,29.97,9.95,yes,10
121,MainOfferFreeShippingKingCreamDISC,EBKGCRMAINB,King,"King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-112” x L-108”, (1) fitted sheet W-78” x L-80” x D-18”, (2) pillow cases 20” x 40” CREAM - 50% OFF",King - $34.97,Cream,34.97,9.95,yes,10
